drawing_id,metric,pre,post,diff,pct_change
36425e04-bebf-4ded-89a5-d1f871ff43dd,2nd order sm,-6.99246,10.8898,17.88226,255.73632169508298
36425e04-bebf-4ded-89a5-d1f871ff43dd,Ang Sp Freq,4.82944,410.746,405.91656,8405.044063079778
36425e04-bebf-4ded-89a5-d1f871ff43dd,3rd quad average median,0.0120672,0.0,-0.0120672,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,Speed mean slope,0.0195709,56517.7,56517.68042909999,288784268.6289337
36425e04-bebf-4ded-89a5-d1f871ff43dd,tightness (Lf),88.1521,0.0,-88.1521,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,tightness (Rt),76.3092,0.0,-76.3092,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,tightness (Lw),80.0545,0.0,-80.0545,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,Cal Tremor,1.0,0.0,-1.0,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,Tightness,79.1577,0.000737811,-79.15696218900001,-99.9990679226405
36425e04-bebf-4ded-89a5-d1f871ff43dd,Catgo,2.0,1.0,-1.0,-50.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,tightness (Rt-Lf),-11.8429,0.0,11.8429,100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,slope_1,0.421685,2134.91,2134.488315,506180.75459169765
36425e04-bebf-4ded-89a5-d1f871ff43dd,2nd quad average median,0.0132838,0.0,-0.0132838,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,X Power,7.71709e-09,4.73419e-07,4.6570191e-07,6034.682892126437
36425e04-bebf-4ded-89a5-d1f871ff43dd,ratio,-0.530164,3.8958,4.425964,834.829222655631
36425e04-bebf-4ded-89a5-d1f871ff43dd,X Freq,2.10739,83.1509,81.04351,3845.681625138204
36425e04-bebf-4ded-89a5-d1f871ff43dd,Residue theta-r,0.214125,0.139153,-0.07497200000000001,-35.01319322825453
36425e04-bebf-4ded-89a5-d1f871ff43dd,tightness (Up),89.8261,0.0,-89.8261,-100.0
36425e04-bebf-4ded-89a5-d1f871ff43dd,Speed Power,0.00108622,695800.0,695799.99891378,64057004926.60603
36425e04-bebf-4ded-89a5-d1f871ff43dd,Pressure Freq,2.26202,0.0,-2.26202,-100.0
